D & B Used Cars|111 Old Benbrook Rd|817-555-5555
321113|2008|Mazda|3i|car|Gray|180000|3000.0
422313|2009|Mazda|3|car|yellow|199999|1999.0
531245|2015|Toyota|Corolla|car|White|85000|10500.0
642781|2017|Honda|Civic|car|Black|62000|12800.0
753912|2020|Ford|Escape|SUV|Blue|45000|18500.0
864337|2018|Chevrolet|Malibu|car|Silver|72000|14250.0
975648|2016|Nissan|Altima|car|Gray|91000|9900.0
186459|2014|Hyundai|Elantra|car|Red|103000|8800.0
297570|2019|Jeep|Cherokee|SUV|Green|51000|17500.0
308681|2023|Kia|Soul|car|White|28000|16200.0
419792|2013|Subaru|Outback|SUV|Beige|117000|9700.0
520813|2010|Volkswagen|Jetta|car|Black|135000|5900.0
631924|2024|Tesla|Model 3|car|Blue|15000|35500.0
742035|2018|BMW|X3|SUV|White|69000|23800.0
853146|2015|Audi|A4|car|Gray|88000|17600.0
964257|2017|Dodge|Ram 1500|truck|Silver|97000|22400.0
